RecordID,Date,Type,Vendor_Customer,Amount,DueDate,PaymentStatus,InvoiceNumber,AccountCode,Description
APAR1000,2024-01-07,Payable,Tech Solutions Inc.,6056.41,2024-11-14,Paid,INV-6588,1317,Payable for Tech Solutions Inc.
APAR1001,2024-06-21,Payable,Fleet Rentals,9602.69,2024-11-16,Overdue,INV-0474,3244,Payable for Fleet Rentals
APAR1002,2024-03-26,Receivable,Client B,1109.0,2024-11-18,Paid,INV-9200,6276,Receivable for Client B
APAR1003,2024-02-07,Payable,Fleet Rentals,9274.43,2024-11-06,Partially Paid,INV-8945,8017,Payable for Fleet Rentals
APAR1004,2024-10-27,Payable,Fleet Rentals,4773.77,2024-11-11,Paid,INV-5004,5309,Payable for Fleet Rentals
APAR1005,2024-05-02,Receivable,Client A,4650.55,2024-11-24,Unpaid,INV-2606,7364,Receivable for Client A
APAR1006,2024-09-24,Payable,OfficeMax,8825.91,2024-11-27,Overdue,INV-2497,7501,Payable for OfficeMax
APAR1007,2024-01-04,Receivable,Partner Co.,1074.4,2024-11-21,Overdue,INV-9077,1523,Receivable for Partner Co.
APAR1008,2024-01-14,Payable,Tech Solutions Inc.,3272.34,2024-11-13,Partially Paid,INV-8742,5543,Payable for Tech Solutions Inc.
APAR1009,2024-01-11,Receivable,Partner Co.,6369.07,2024-11-14,Paid,INV-9328,6360,Receivable for Partner Co.
APAR1010,2024-01-10,Payable,Tech Solutions Inc.,7807.51,2024-11-09,Partially Paid,INV-4678,4727,Payable for Tech Solutions Inc.
APAR1011,2024-06-11,Payable,Fleet Rentals,6281.91,2024-11-06,Paid,INV-1846,5146,Payable for Fleet Rentals
APAR1012,2024-05-21,Receivable,Partner Co.,1790.92,2024-11-02,Unpaid,INV-0525,3230,Receivable for Partner Co.
APAR1013,2024-09-01,Receivable,Client B,9393.31,2024-11-07,Partially Paid,INV-6241,4948,Receivable for Client B
APAR1014,2024-06-07,Receivable,Client B,271.14,2024-11-09,Paid,INV-5084,2253,Receivable for Client B
APAR1015,2024-04-16,Receivable,Client A,7642.2,2024-11-23,Paid,INV-4393,7823,Receivable for Client A
