FileID,EmployeeID,FileType,FileName,DateUploaded,UploadedBy,Description,FilePath
FILE0001,EMP1001,Resume,Resume_FILE0001.pdf,2024-01-10,jdoe,"Resume for EMP1001","/files/EMP1001/Resume_FILE0001.pdf"
FILE0002,EMP1002,Contract,Contract_FILE0002.pdf,2024-01-15,asmith,"Contract for EMP1002","/files/EMP1002/Contract_FILE0002.pdf"
FILE0003,EMP1003,Certification,Certification_FILE0003.pdf,2024-02-05,etaylor,"Certification for EMP1003","/files/EMP1003/Certification_FILE0003.pdf"
FILE0004,EMP1004,Performance Review,Performance_Review_FILE0004.pdf,2024-02-20,mwilliams,"Performance Review for EMP1004","/files/EMP1004/Performance_Review_FILE0004.pdf"
FILE0005,EMP1005,ID Document,ID_Document_FILE0005.pdf,2024-03-10,cjohnson,"ID Document for EMP1005","/files/EMP1005/ID_Document_FILE0005.pdf"
FILE0006,EMP1001,Certification,Certification_FILE0006.pdf,2024-03-15,jdoe,"Certification for EMP1001","/files/EMP1001/Certification_FILE0006.pdf"
FILE0007,EMP1002,Performance Review,Performance_Review_FILE0007.pdf,2024-04-05,asmith,"Performance Review for EMP1002","/files/EMP1002/Performance_Review_FILE0007.pdf"
FILE0008,EMP1003,ID Document,ID_Document_FILE0008.pdf,2024-04-25,etaylor,"ID Document for EMP1003","/files/EMP1003/ID_Document_FILE0008.pdf"
FILE0009,EMP1004,Resume,Resume_FILE0009.pdf,2024-05-10,mwilliams,"Resume for EMP1004","/files/EMP1004/Resume_FILE0009.pdf"
FILE0010,EMP1005,Contract,Contract_FILE0010.pdf,2024-05-20,cjohnson,"Contract for EMP1005","/files/EMP1005/Contract_FILE0010.pdf"
FILE0011,EMP1006,Resume,Resume_FILE0011.pdf,2024-06-01,jdoe,"Resume for EMP1006","/files/EMP1006/Resume_FILE0011.pdf"
FILE0012,EMP1007,Certification,Certification_FILE0012.pdf,2024-06-15,asmith,"Certification for EMP1007","/files/EMP1007/Certification_FILE0012.pdf"
FILE0013,EMP1008,Performance Review,Performance_Review_FILE0013.pdf,2024-07-01,etaylor,"Performance Review for EMP1008","/files/EMP1008/Performance_Review_FILE0013.pdf"
FILE0014,EMP1009,ID Document,ID_Document_FILE0014.pdf,2024-07-10,mwilliams,"ID Document for EMP1009","/files/EMP1009/ID_Document_FILE0014.pdf"
FILE0015,EMP1010,Contract,Contract_FILE0015.pdf,2024-07-20,cjohnson,"Contract for EMP1010","/files/EMP1010/Contract_FILE0015.pdf"
FILE0016,EMP1001,Resume,Resume_FILE0016.pdf,2024-08-01,jdoe,"Resume for EMP1001","/files/EMP1001/Resume_FILE0016.pdf"
FILE0017,EMP1002,Certification,Certification_FILE0017.pdf,2024-08-15,asmith,"Certification for EMP1002","/files/EMP1002/Certification_FILE0017.pdf"
FILE0018,EMP1003,Performance Review,Performance_Review_FILE0018.pdf,2024-09-01,etaylor,"Performance Review for EMP1003","/files/EMP1003/Performance_Review_FILE0018.pdf"
FILE0019,EMP1004,ID Document,ID_Document_FILE0019.pdf,2024-09-10,mwilliams,"ID Document for EMP1004","/files/EMP1004/ID_Document_FILE0019.pdf"
FILE0020,EMP1005,Contract,Contract_FILE0020.pdf,2024-09-20,cjohnson,"Contract for EMP1005","/files/EMP1005/Contract_FILE0020.pdf"
