EntryID,Date,AccountCode,AccountName,Debit,Credit,Description,ReferenceID,TransactionID
GL1000,2024-03-27,5887,Office Supplies Expense,795.79,0.0,Control enjoy show fact realize economic.,Pfu-7766,T1000
GL1001,2024-07-05,1517,Office Supplies Expense,4903.75,0.0,Very wide wear.,Mcf-4983,T1001
GL1002,2024-06-17,2372,Consulting Fees,0.0,0.0,Marriage cut receive blood common.,kWx-7419,T1002
GL1003,2024-10-30,7437,Consulting Fees,0.0,2431.21,Social woman human plan.,jFK-8820,T1003
GL1004,2024-04-09,3211,Office Supplies Expense,0.0,3304.05,Way central difficult reach individual.,jzV-7337,T1004
GL1005,2024-09-16,8192,Accounts Receivable,0.0,0.0,Walk account official cold someone drive.,XAD-9244,T1005
GL1006,2024-07-14,6791,Software Licenses,4805.97,0.0,Throw their spring keep.,LQX-6643,T1006
GL1007,2024-03-29,4093,Consulting Fees,0.0,0.0,Car also artist have.,kjw-9191,T1007
GL1008,2024-10-17,7195,Travel Expense,0.0,2153.56,Machine Congress surface.,cYm-0661,T1008
GL1009,2024-08-21,4189,Software Licenses,0.0,0.0,Wrong knowledge effort attention present ability.,EuV-5801,T1009
GL1010,2024-08-10,4478,Travel Expense,0.0,1375.81,Issue step claim national.,vnb-2539,T1010
GL1011,2024-05-11,8718,Software Licenses,0.0,0.0,Choose trouble indicate impact position reality.,jWU-9542,T1011
GL1012,2024-10-31,3479,Travel Expense,0.0,0.0,Wear truth hit glass.,Kff-9921,T1012
GL1013,2024-09-03,3105,Accounts Receivable,0.0,3890.51,Town she step three.,dtz-7359,T1013
GL1014,2024-01-02,6222,Software Licenses,0.0,0.0,Tough social off trial loss.,zAs-5984,T1014
GL1015,2024-11-01,3078,Software Licenses,0.0,0.0,Us mission place.,geM-2165,T1015
GL1016,2024-08-12,9258,Office Supplies Expense,1278.49,0.0,Effort to career.,EiC-4981,T1016
GL1017,2024-03-16,1192,Travel Expense,3821.62,0.0,War step home contain dinner.,PoT-8349,T1017
GL1018,2024-05-18,4675,Consulting Fees,0.0,0.0,History case about ever right.,FfR-5273,T1018
GL1019,2024-03-31,3003,Software Licenses,765.95,0.0,Administration ground art score than bit.,EGh-2525,T1019
GL1020,2024-04-26,8972,Software Licenses,0.0,108.77,Field else national ahead notice.,CPJ-8782,T1020
GL1021,2024-10-21,8194,Accounts Receivable,0.0,0.0,Week avoid lot general across for.,rVQ-6959,T1021
GL1022,2024-02-27,5684,Consulting Fees,0.0,799.81,Total sing among personal cut trip.,yjA-5443,T1022
GL1023,2024-05-22,3554,Consulting Fees,0.0,3357.0,Sense civil would within way seem.,NqI-2624,T1023
GL1024,2024-02-25,1477,Office Supplies Expense,853.52,0.0,Suffer training describe senior.,AlO-3755,T1024
GL1025,2024-05-21,2637,Office Supplies Expense,1979.45,0.0,Common president general.,uJe-2207,T1025
GL1026,2024-03-02,3762,Consulting Fees,1865.83,0.0,Democrat blue direction he staff maintain.,NAi-6834,T1026
GL1027,2024-06-06,9156,Accounts Receivable,0.0,2565.44,Respond generation direction laugh.,MRh-5591,T1027
GL1028,2024-10-21,6413,Travel Expense,0.0,0.0,Large even attention house apply.,TEs-6718,T1028
GL1029,2024-10-20,9604,Office Supplies Expense,0.0,3872.29,Husband out on.,cfY-4632,T1029
GL1030,2024-07-23,9204,Consulting Fees,0.0,1170.11,Whole strong its attention weight.,UdX-3825,T1030
GL1031,2024-01-30,8363,Software Licenses,1979.71,0.0,Mind think discussion change.,xYU-0765,T1031
GL1032,2024-07-23,2372,Travel Expense,0.0,1382.49,Determine hair while.,yZe-0911,T1032
GL1033,2024-03-10,1404,Travel Expense,0.0,0.0,Site child suddenly.,wPX-1245,T1033
GL1034,2024-09-05,1828,Accounts Receivable,4348.2,0.0,Page year woman.,HBT-9271,T1034
GL1035,2024-09-26,3806,Accounts Receivable,0.0,2564.55,Next public debate.,akK-0880,T1035
GL1036,2024-04-18,1786,Accounts Receivable,0.0,1351.01,Respond should around late second because.,qZU-4848,T1036
GL1037,2024-05-15,4314,Software Licenses,3415.87,0.0,Test for study much.,RRH-4325,T1037
GL1038,2024-04-09,8365,Accounts Receivable,0.0,0.0,Best record morning choice look others.,vsp-4388,T1038
GL1039,2024-09-16,8989,Travel Expense,2843.32,0.0,Chance operation middle interview first.,qnt-3394,T1039
GL1040,2024-08-12,3159,Travel Expense,0.0,2964.01,Police film majority.,ald-0164,T1040
GL1041,2024-09-25,8135,Consulting Fees,4308.13,0.0,Wife face condition.,EGb-6064,T1041
GL1042,2024-08-01,5421,Accounts Receivable,2944.5,0.0,Tax notice executive.,TUU-3243,T1042
GL1043,2024-03-26,7039,Travel Expense,4316.1,0.0,Language however end.,pIg-2910,T1043
GL1044,2024-04-24,8570,Consulting Fees,1066.78,0.0,Interview paper both professor most according.,LzW-8576,T1044
GL1045,2024-04-16,9821,Travel Expense,0.0,3150.57,Set control defense financial.,ZlF-5321,T1045
GL1046,2024-02-24,6315,Consulting Fees,0.0,0.0,Against side develop still walk.,gbm-7886,T1046
GL1047,2024-09-29,4903,Office Supplies Expense,1772.78,0.0,Probably decide our first understand figure.,ZHN-6733,T1047
GL1048,2024-01-04,6023,Software Licenses,4740.54,0.0,Mention skin yes them cell.,kJI-1683,T1048
GL1049,2024-06-29,4300,Office Supplies Expense,0.0,0.0,Worry green along important security.,DnV-0233,T1049
