StatementID,Date,AccountCode,AccountName,Amount,Type
IS1000,2024-03-27,5887,Office Supplies Expense,795.79,Expense
IS1001,2024-07-05,1517,Office Supplies Expense,4903.75,Expense
IS1003,2024-10-30,7437,Consulting Fees,2431.21,Income
IS1004,2024-04-09,3211,Office Supplies Expense,3304.05,Income
IS1006,2024-07-14,6791,Software Licenses,4805.97,Expense
IS1008,2024-10-17,7195,Travel Expense,2153.56,Income
IS1010,2024-08-10,4478,Travel Expense,1375.81,Income
IS1013,2024-09-03,3105,Accounts Receivable,3890.51,Income
IS1016,2024-08-12,9258,Office Supplies Expense,1278.49,Expense
IS1017,2024-03-16,1192,Travel Expense,3821.62,Expense
IS1019,2024-03-31,3003,Software Licenses,765.95,Expense
IS1020,2024-04-26,8972,Software Licenses,108.77,Income
IS1022,2024-02-27,5684,Consulting Fees,799.81,Income
IS1023,2024-05-22,3554,Consulting Fees,3357.0,Income
IS1024,2024-02-25,1477,Office Supplies Expense,853.52,Expense
IS1025,2024-05-21,2637,Office Supplies Expense,1979.45,Expense
IS1026,2024-03-02,3762,Consulting Fees,1865.83,Expense
IS1027,2024-06-06,9156,Accounts Receivable,2565.44,Income
IS1029,2024-10-20,9604,Office Supplies Expense,3872.29,Income
IS1030,2024-07-23,9204,Consulting Fees,1170.11,Income
IS1031,2024-01-30,8363,Software Licenses,1979.71,Expense
IS1032,2024-07-23,2372,Travel Expense,1382.49,Income
IS1034,2024-09-05,1828,Accounts Receivable,4348.2,Expense
IS1035,2024-09-26,3806,Accounts Receivable,2564.55,Income
IS1036,2024-04-18,1786,Accounts Receivable,1351.01,Income
IS1037,2024-05-15,4314,Software Licenses,3415.87,Expense
IS1039,2024-09-16,8989,Travel Expense,2843.32,Expense
IS1040,2024-08-12,3159,Travel Expense,2964.01,Income
IS1041,2024-09-25,8135,Consulting Fees,4308.13,Expense
IS1042,2024-08-01,5421,Accounts Receivable,2944.5,Expense
IS1043,2024-03-26,7039,Travel Expense,4316.1,Expense
IS1044,2024-04-24,8570,Consulting Fees,1066.78,Expense
IS1045,2024-04-16,9821,Travel Expense,3150.57,Income
IS1047,2024-09-29,4903,Office Supplies Expense,1772.78,Expense
IS1048,2024-01-04,6023,Software Licenses,4740.54,Expense
