ReceiptID,Date,Payee,Amount,PaymentMethod,Description,ReferenceID,Status
REC1000,2024-02-03,"Davenport, White and Myers",142.76,Cash,"Receipt for payment received from Davenport, White and Myers.",REF-4955,Pending
REC1001,2024-04-08,"Welch, Jones and Miller",89.56,Credit Card,"Receipt for payment received from Welch, Jones and Miller.",REF-6250,Pending
REC1002,2024-02-22,Fuller Group,329.13,Cash,Receipt for payment received from Fuller Group.,REF-3087,Cancelled
REC1003,2024-08-23,Hayes LLC,2881.83,Cash,Receipt for payment received from Hayes LLC.,REF-8613,Pending
REC1004,2024-07-16,Kim Inc,2207.39,Mobile Payment,Receipt for payment received from Kim Inc.,REF-7911,Cancelled
REC1005,2024-10-31,Becker-Wade,2905.62,Cash,Receipt for payment received from Becker-Wade.,REF-8584,Confirmed
REC1006,2024-04-09,Blackwell Ltd,2158.65,Cash,Receipt for payment received from Blackwell Ltd.,REF-7255,Cancelled
REC1007,2024-09-28,"Jackson, Thompson and Thornton",2846.98,Mobile Payment,"Receipt for payment received from Jackson, Thompson and Thornton.",REF-6543,Cancelled
REC1008,2024-08-07,"Farmer, Frederick and Nicholson",2408.56,Credit Card,"Receipt for payment received from Farmer, Frederick and Nicholson.",REF-0839,Pending
REC1009,2024-04-18,Hill-Wu,2721.06,Credit Card,Receipt for payment received from Hill-Wu.,REF-8998,Cancelled
REC1010,2024-06-21,"Alvarez, Anderson and Marquez",1797.51,Cash,"Receipt for payment received from Alvarez, Anderson and Marquez.",REF-7141,Pending
REC1011,2024-06-21,Smith-Williams,1668.6,Bank Transfer,Receipt for payment received from Smith-Williams.,REF-5811,Cancelled
REC1012,2024-09-14,"Evans, Mcclain and Fischer",1299.17,Cash,"Receipt for payment received from Evans, Mcclain and Fischer.",REF-2889,Confirmed
REC1013,2024-06-06,"Soto, Neal and Henry",991.23,Mobile Payment,"Receipt for payment received from Soto, Neal and Henry.",REF-6303,Cancelled
REC1014,2024-08-15,"Evans, Garcia and Hester",1076.33,Cash,"Receipt for payment received from Evans, Garcia and Hester.",REF-3790,Confirmed
REC1015,2024-05-10,Hanson PLC,1449.83,Mobile Payment,Receipt for payment received from Hanson PLC.,REF-5406,Cancelled
REC1016,2024-07-24,Arellano-Williams,242.34,Bank Transfer,Receipt for payment received from Arellano-Williams.,REF-6397,Pending
REC1017,2024-09-08,Martinez-Young,1570.96,Cash,Receipt for payment received from Martinez-Young.,REF-4014,Pending
REC1018,2024-03-13,Morgan PLC,2451.12,Credit Card,Receipt for payment received from Morgan PLC.,REF-6797,Pending
REC1019,2024-06-02,Yang and Sons,267.76,Cash,Receipt for payment received from Yang and Sons.,REF-3697,Confirmed
